,Followings,Followers,MediaCount,Likes,Comments ,CreationTime,Selfie,BodySnap,Marketing,ProductOnly,NonFashion,Face,Logo,BrandLogo,Smile,Outdoor,NumberOfPeople,NumberOfFashionProduct,Anger,Contempt,Disgust,Fear,Happiness,Neutral,Sadness,Surprise
128,3.0,272802.0,8003,990,0,1453810000,0.326315,0.0530723,0.242862,0.00331965,0.284844,0.991082,0.954775,0.230952,0.507626,0.0478147,1.3845,2.54353,0.007987172,0.1011043,0.004441594,0.000149208,0.01679498,0.848112464,0.02027512,0.001135197
129,70.0,34489.0,504,990,56,1453809644,0.0011893,0.999601,0.00200182,0.000495257,0.000576377,0.517648,0.0278261,0.00306436,0.176848,0.690244,0.813016,5.10761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,194.0,2008.0,978,98,3,1453881665,0.00339703,0.0284723,0.00975811,0.119783,0.804985,0.0217205,0.978871,0.0862479,0.0159597,0.00799586,0.406707,1.46127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,1407.0,4087.0,2791,98,7,1453837808,0.00131998,0.0285671,0.0427033,0.00791222,0.96179,0.0192969,0.810988,0.0265893,0.00406117,0.0433995,0.31315,0.919634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,127684.0,24532.0,3649,98,2,1453782054,0.00120957,0.354944,0.130412,0.808303,0.000352252,0.0469201,0.0472166,0.0202615,0.0136081,0.0176639,0.653134,4.83752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,647.0,2346.0,2488,98,21,1453779763,0.00471081,0.896569,0.00924041,0.031218,0.0255092,0.402779,0.386469,0.0582828,0.0982988,0.919988,1.00901,5.08179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,154.0,2053.0,625,98,1,1453779320,0.00252395,0.948573,0.012242,0.00046486,0.0167089,0.96073,0.486237,0.0418559,0.270257,0.885895,1.03702,4.41093,4.49e-10,1.96e-09,1.02e-09,4.39e-11,0.999999642,3.01e-07,2.51e-09,2.77e-08
135,206.0,674.0,836,98,5,1453765194,0.00121237,0.12356,0.0153359,0.554967,0.0434585,0.0202037,0.540793,0.127682,0.00781496,0.121766,0.388746,2.61777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,443.0,1869.0,129,972,13,1453770383,8.21e-05,0.00293115,0.00458598,0.997073,0.00139354,0.000647751,0.970718,0.291535,0.000427986,0.00234157,0.118687,3.74901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,419.0,451.0,608,97,0,1453841630,0.00101521,0.0101878,0.229378,0.81429,0.00668952,0.0239287,0.791292,0.109123,0.00358099,0.00158336,0.375311,3.7475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,662.0,1587.0,692,97,4,1453835629,0.0114017,0.595306,0.03435,0.0311311,0.442546,0.384799,0.902157,0.162792,0.110071,0.666094,1.21348,3.1104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,1152.0,5858.0,1329,96,1,1453803353,0.00336105,0.6555,0.0460984,0.0362732,0.0609527,0.261208,0.994454,0.291245,0.0708028,0.048591,0.77204,3.32214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,871.0,2942.0,1833,95,8,1453876113,0.00466563,0.992477,0.0438746,0.000524507,0.000321971,0.980052,0.0731872,0.0196798,0.313299,0.727639,1.16788,5.60607,7e-05,0.001599198,2.5e-05,2.94e-06,0.077457815,0.920315564,0.000358089,0.000171373
141,159.0,6843.0,1256,95,6,1453802118,0.0243532,0.95254,0.0286526,0.00152417,0.00616641,0.981528,0.114598,0.0180383,0.536245,0.0194296,1.98926,5.76031,0.004393764,0.000803832,0.000212428,0.000144335,0.745521719,0.245414062,0.000658201,0.002851668
142,447.0,18459.0,2416,94,0,1453838504,0.000443858,0.00186422,0.0129385,0.983499,0.0510096,0.00170292,0.966044,0.191059,0.000969079,0.00475249,0.201927,1.86842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,177.0,2138.0,1032,94,18,1453820143,0.00192347,0.9953,0.0203681,0.00066675,0.000227991,0.779201,0.0285126,0.00535463,0.165178,0.318699,0.790511,5.36018,5.79e-06,0.003645009,1.77e-05,3.42e-06,0.9585349,0.03720143,0.000213153,0.00037857
144,764.0,1504.0,938,94,10,1453778657,0.000137514,0.0067456,0.010696,0.998672,0.00015492,0.000909353,0.518568,0.181467,0.000484791,0.0101497,0.124885,2.66469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,764.0,1504.0,938,94,7,1453777634,0.000144831,0.0072298,0.00339538,0.841417,0.0935275,0.000588837,0.0325033,0.00758531,0.000311081,0.0467237,0.188278,1.05111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,206.0,674.0,836,94,9,1453764978,0.00523826,0.188113,0.0544684,0.194749,0.110337,0.0860132,0.305531,0.135186,0.0220685,0.0269983,0.621033,3.06561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,752.0,274913.0,4917,934,3,1453878092,0.00264544,0.419515,0.0288612,0.177314,0.00667145,0.0772988,0.653933,0.0662548,0.0181025,0.0114997,0.482147,3.34244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,449.0,800.0,285,93,3,1453882004,0.00470117,0.052619,0.143886,0.00680839,0.874338,0.690599,0.99807,0.648951,0.105359,0.0411581,0.883612,1.93338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,295.0,676.0,66,93,13,1453781351,5.62e-05,0.00420971,0.0045619,0.999612,9.7e-06,0.000306221,0.129898,0.0155293,0.000159965,9.89e-05,0.0773027,2.07469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,764.0,1504.0,938,92,11,1453856741,0.0013165,0.997467,0.000672431,0.00421503,0.00324186,0.0603356,0.157216,0.0211887,0.0397188,0.956475,0.424914,4.56571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,375.0,605.0,567,92,6,1453843296,0.00766612,0.173076,0.047686,0.127245,0.442736,0.109619,0.767288,0.321016,0.0258191,0.431143,0.72833,2.26275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,0.0,104324.0,1306,918,7,1453814183,0.00201117,0.997219,0.00477079,0.00164069,0.00179525,0.508633,0.244415,0.0204186,0.148442,0.921626,0.68606,5.7299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,205.0,255.0,56,91,18,1453834213,0.00118143,0.998285,0.00116668,0.00551285,0.000542957,0.0399968,0.100512,0.00956451,0.0308162,0.173317,0.43501,3.73491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,286.0,10621.0,3151,91,2,1453833811,0.000565031,0.0757654,0.0643599,0.962395,0.000170089,0.00997835,0.838484,0.0928689,0.00249394,0.00204998,0.341471,4.74804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,1419.0,19160.0,7788,91,2,1453809295,0.000948083,0.236485,0.0139616,0.759271,0.00770941,0.00980206,0.269998,0.0658184,0.00387832,0.00876061,0.377808,3.62423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,854.0,89136.0,1215,905,12,1453857334,0.00150582,0.0103337,0.0305752,0.670944,0.191152,0.0100442,0.997593,0.54623,0.0047993,0.0112159,0.266122,1.52828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,4562.0,6910.0,2947,90,1,1453873597,0.0260616,0.712522,0.0481774,0.0150071,0.025948,0.938647,0.219849,0.0356615,0.353358,0.051035,2.26534,6.79878,3.75e-06,0.001389878,1.46e-05,9.03e-09,0.765667125,0.232911011,1.12e-05,2.53e-06
158,209.0,4137.0,626,90,0,1453806231,0.00165272,0.986468,0.0104031,0.0012523,0.000862879,0.888086,0.0665373,0.00737703,0.105315,0.70254,0.692807,5.41525,0.000102773,5.39e-05,0.000553381,0.000290199,0.9865648,0.004277159,0.007437811,0.000719959
159,604.0,463.0,50,9,0,1453884568,0.113472,0.107085,0.11058,0.116066,0.356208,0.236338,0.325064,0.252911,0.0443688,0.148501,1.41481,1.79565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,152.0,65.0,184,9,0,1453844391,0.00961274,0.39866,0.0477953,0.399738,0.0147046,0.071717,0.786409,0.170365,0.0233726,0.010229,0.712132,3.18184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,3622.0,2840.0,1915,9,0,1453833368,0.0065656,0.845756,0.256413,0.00160024,0.00577527,0.938977,0.147594,0.0340284,0.190631,0.152046,1.54532,6.02317,4.25e-05,0.00016,7.32e-06,4.21e-06,4.06e-05,0.99760475,0.001231964,0.000909165
162,303.0,569.0,173,9,0,1453818156,0.00151182,0.851858,0.00145269,0.117707,0.0053833,0.0156154,0.0319389,0.0227258,0.00985038,0.895071,0.407528,3.09638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,0.0,7.0,13,9,0,1453765857,0.00223408,0.496384,0.0229691,0.513094,0.000767862,0.0623308,0.529446,0.0916265,0.0089391,0.0366298,0.394631,4.05336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,764.0,1504.0,938,89,9,1453873813,0.00160886,0.0223656,0.00834662,0.0122455,0.976102,0.0930085,0.998872,0.0265746,0.0215444,0.0102947,0.415777,1.02939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,446.0,1452.0,153,89,1,1453819971,0.0023774,0.473489,0.544163,0.00489169,0.00524225,0.995407,0.99973,0.795936,0.326256,0.0367375,1.28836,4.69403,0.010254205,0.00821803,0.00014976,3.7e-05,0.000382998,0.9783484,0.001681964,0.000927696
166,3996.0,36588.0,3686,885,41,1453794494,0.00285497,0.909131,0.0610766,0.0263094,0.000730668,0.547732,0.129672,0.0226923,0.0628291,0.298154,0.830656,5.83389,0.01532013,0.005425418,0.009834306,0.00084824,0.000162522,0.8224554,0.142565742,0.003388237
167,453.0,1318.0,535,88,3,1453829698,0.00833556,0.99423,0.00713446,0.00152552,0.00314315,0.753301,0.124454,0.0149713,0.253534,0.100416,1.06019,4.42615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,188.0,214.0,255,88,7,1453788614,0.00304364,0.989997,0.0125905,0.011783,0.00048082,0.155571,0.0720415,0.00836766,0.0594952,0.00628121,0.665278,4.4575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,730.0,9034.0,3042,88,0,1453755993,0.00719575,0.167944,0.00893095,0.53385,0.0905121,0.0431366,0.270856,0.0875796,0.013973,0.0697429,0.722825,3.29087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,76.0,4365.0,792,88,1,1453750018,0.0022743,0.145541,0.0178106,0.50577,0.0239319,0.0220501,0.478231,0.0716067,0.0071673,0.0135491,0.394408,2.38038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,115.0,573.0,248,87,2,1453857752,0.00736035,0.816303,0.0304106,0.0680843,0.00675003,0.350709,0.09824,0.0224158,0.0564553,0.0417763,0.878062,4.96823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,3.0,11680.0,2560,86,0,1453802278,0.00379751,0.0433422,0.0464661,0.550472,0.155002,0.014581,0.178731,0.0699845,0.00594371,0.0287433,0.806766,3.13141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,206.0,674.0,836,86,2,1453764695,0.00142803,0.171563,0.0111094,0.792374,0.017709,0.0194681,0.823685,0.123374,0.00896137,0.00531686,0.360057,2.88702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,286.0,10621.0,3151,85,1,1453831090,0.00515189,0.714647,0.0476994,0.0479744,0.00132386,0.700072,0.0872861,0.0179041,0.0773946,0.455774,0.839252,5.66694,0.000658576,0.002859763,0.000307798,7.89e-05,0.000242,0.9886528,0.000930238,0.006269796
175,187.0,2023.0,652,84,17,1453808217,0.000435345,0.150793,0.000657437,0.983999,0.000349384,0.00105476,0.143545,0.0465643,0.00137335,0.00510353,0.161065,3.73772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,41.0,1711.0,621,84,0,1453744431,0.00595833,0.968209,0.0297196,0.00970829,0.00279314,0.625188,0.162722,0.0583797,0.093127,0.754581,1.06909,4.69088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,537.0,92259.0,1495,838,18,1453746001,0.00507677,0.899114,0.307281,0.0014185,0.00357645,0.978966,0.0736927,0.0488201,0.247569,0.96172,1.23247,5.26726,3.82e-09,1.26e-10,7.2e-09,1.7e-09,0.999997556,1.76e-09,1.45e-10,2.42e-06
178,796.0,1303.0,754,83,3,1453842235,0.000206085,0.998902,0.000135817,0.033137,1.99e-05,0.00771082,0.0530997,0.00128681,0.0111829,0.00136843,0.168691,4.36772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,426.0,8608.0,1554,83,2,1453818119,0.00691444,0.249381,0.0346093,0.0461953,0.632334,0.17124,0.977937,0.236467,0.049388,0.1262,0.929466,2.53939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
