,Followings,Followers,MediaCount,Likes,Comments ,CreationTime,Selfie,BodySnap,Marketing,ProductOnly,NonFashion,Face,Logo,BrandLogo,Smile,Outdoor,NumberOfPeople,NumberOfFashionProduct,Anger,Contempt,Disgust,Fear,Happiness,Neutral,Sadness,Surprise
135,206.0,674.0,836,98,5,1453765194,0.00121237,0.12356,0.0153359,0.554967,0.0434585,0.0202037,0.540793,0.127682,0.00781496,0.121766,0.388746,2.61777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,419.0,451.0,608,97,0,1453841630,0.00101521,0.0101878,0.229378,0.81429,0.00668952,0.0239287,0.791292,0.109123,0.00358099,0.00158336,0.375311,3.7475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,1152.0,5858.0,1329,96,1,1453803353,0.00336105,0.6555,0.0460984,0.0362732,0.0609527,0.261208,0.994454,0.291245,0.0708028,0.048591,0.77204,3.32214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,152.0,65.0,184,9,0,1453844391,0.00961274,0.39866,0.0477953,0.399738,0.0147046,0.071717,0.786409,0.170365,0.0233726,0.010229,0.712132,3.18184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,0.0,7.0,13,9,0,1453765857,0.00223408,0.496384,0.0229691,0.513094,0.000767862,0.0623308,0.529446,0.0916265,0.0089391,0.0366298,0.394631,4.05336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,453.0,1318.0,535,88,3,1453829698,0.00833556,0.99423,0.00713446,0.00152552,0.00314315,0.753301,0.124454,0.0149713,0.253534,0.100416,1.06019,4.42615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,730.0,9034.0,3042,88,0,1453755993,0.00719575,0.167944,0.00893095,0.53385,0.0905121,0.0431366,0.270856,0.0875796,0.013973,0.0697429,0.722825,3.29087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,76.0,4365.0,792,88,1,1453750018,0.0022743,0.145541,0.0178106,0.50577,0.0239319,0.0220501,0.478231,0.0716067,0.0071673,0.0135491,0.394408,2.38038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,115.0,573.0,248,87,2,1453857752,0.00736035,0.816303,0.0304106,0.0680843,0.00675003,0.350709,0.09824,0.0224158,0.0564553,0.0417763,0.878062,4.96823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,206.0,674.0,836,86,2,1453764695,0.00142803,0.171563,0.0111094,0.792374,0.017709,0.0194681,0.823685,0.123374,0.00896137,0.00531686,0.360057,2.88702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,796.0,1303.0,754,83,3,1453842235,0.000206085,0.998902,0.000135817,0.033137,1.99e-05,0.00771082,0.0530997,0.00128681,0.0111829,0.00136843,0.168691,4.36772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,717.0,2245.0,133,116,4,1453770657,0.00288962,0.938425,0.0050039,0.881882,0.00695601,0.00903468,0.404407,0.174965,0.00752553,0.00415451,0.350007,2.67588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,546.0,2540.0,1407,80,0,1453855985,0.0002327,0.99646,0.000337405,0.00312864,0.000439236,0.0445185,0.250188,0.00347806,0.0250052,0.000596244,0.165708,4.0327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,476.0,3195.0,3779,80,2,1453818272,0.00330225,0.990896,0.00456,0.00486515,0.000675871,0.254629,0.0117357,0.00306448,0.0597765,0.125139,0.484961,5.08913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,1176.0,677.0,320,80,5,1453816451,0.000157627,0.0228193,0.0134836,0.983919,0.00032444,0.0027305,0.103158,0.0430947,0.00100513,0.000941377,0.129319,7.79889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,69.0,104.0,129,8,0,1453830073,0.00246928,0.94392,0.120096,0.00127763,0.000471647,0.906207,0.0349154,0.00776353,0.124335,0.0153794,0.780236,3.87669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,175.0,50.0,94,8,1,1453814356,0.000273595,0.00138331,0.0252898,0.989351,0.0117102,0.00161634,0.975123,0.12835,0.000977321,0.00142109,0.188691,2.61933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,88.0,85.0,14,8,0,1453787011,0.000713886,0.00675563,0.0101577,0.977475,0.0286774,0.00289267,0.958108,0.259624,0.00112998,0.00262901,0.229046,2.18649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,438.0,4220.0,951,78,2,1453809779,0.000565038,0.0074911,0.187794,0.893618,0.00141397,0.015081,0.87088,0.0754962,0.00185302,0.00113301,0.359917,2.79603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,162.0,1047.0,513,76,0,1453842400,0.000603031,0.928541,0.00243689,0.0838031,0.000762047,0.0452107,0.0597007,0.0129222,0.0100193,0.00165443,0.322668,3.09666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,7.0,511.0,55,76,3,1453785455,0.00102551,0.907609,0.0590522,0.0251601,0.000384364,0.660717,0.761494,0.0724952,0.058888,0.0157456,0.907644,6.24568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,2322.0,1549.0,1768,74,2,1453859615,0.000108891,0.000812141,0.0346971,0.993926,0.00144872,0.0012881,0.309175,0.0554155,0.000406892,0.000729531,0.136888,5.09002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,334.0,1210.0,324,74,0,1453797000,0.000314627,0.0160487,0.0104743,0.979914,0.0035657,0.00235589,0.970039,0.179807,0.00201222,0.00143386,0.221084,3.5279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,188.0,214.0,255,72,0,1453867391,0.0022311,0.998457,0.00421673,0.00163224,0.000376058,0.210085,0.0506486,0.00719658,0.0980386,0.094189,0.526694,4.86666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,476.0,3195.0,3779,71,2,1453819014,0.00270588,0.842786,0.00603904,0.12136,0.00395403,0.0188218,0.0207597,0.0119691,0.00673294,0.017085,0.393313,2.88089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,1218.0,1149.0,546,70,1,1453829193,0.00542985,0.900663,0.00365544,0.192812,0.00618688,0.0414793,0.703307,0.127153,0.0303373,0.0311307,0.606389,3.46066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,1566.0,288.0,25,70,3,1453770543,0.00165093,0.999628,0.00131937,0.000688561,0.000321352,0.221625,0.0846919,0.00557901,0.104995,0.182394,0.563727,4.90605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,289.0,1676.0,288,70,3,1453745274,0.00570267,0.994985,0.00438382,0.0018582,0.00298943,0.293989,0.0222322,0.00484256,0.0615643,0.0339712,0.657997,3.55813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,164.0,1371.0,135,69,2,1453804743,0.00581806,0.498709,0.00383628,0.0786414,0.0963472,0.015948,0.764369,0.0693506,0.012952,0.0284771,0.4162,1.55696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,187.0,314.0,198,66,1,1453827934,0.00258056,0.971629,0.030855,0.0026397,0.0056488,0.351503,0.2996,0.0809238,0.0416551,0.183771,0.791223,3.88893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,796.0,1303.0,754,63,2,1453850171,0.000312249,0.998431,0.000368631,0.0372748,5.38e-05,0.0180739,0.0686839,0.00258398,0.0115758,0.00673805,0.243576,4.54546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,267.0,1412.0,741,62,2,1453845666,0.00229951,0.752538,0.00673926,0.137437,0.0157399,0.0172245,0.152114,0.0212709,0.0109173,0.0394974,0.466114,2.60321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,482.0,3789.0,945,61,3,1453845405,0.000564281,0.0104845,0.0202321,0.969501,0.00336686,0.00880097,0.477895,0.0564074,0.00140835,0.000481369,0.249793,2.03779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,398.0,3865.0,5193,60,3,1453797306,0.00144916,0.0386556,0.206781,0.853675,0.00299044,0.0575607,0.960034,0.360801,0.00533605,0.0106366,0.415019,3.02614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,448.0,1361.0,1245,59,1,1453765588,0.000745102,0.993738,0.00392915,0.00431792,9.58e-05,0.331683,0.0547402,0.00783584,0.0576939,0.00381946,0.391286,4.19191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,869.0,685.0,716,58,4,1453828801,0.00160879,0.943298,0.00151699,0.0886909,0.00390695,0.0109246,0.0820258,0.0201798,0.0102817,0.0256238,0.32498,2.58538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,457.0,1665.0,535,57,1,1453838538,0.000750404,0.0312597,0.038824,0.85336,0.0109693,0.0180676,0.144598,0.0908134,0.00425412,0.00982682,0.432966,5.92542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,295.0,2341.0,489,57,2,1453765287,0.00178295,0.845244,0.0526562,0.0697412,0.0038283,0.110348,0.107612,0.0305267,0.0195602,0.0700944,0.795986,4.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,0.0,8.0,0,56,0,1453883476,0.000413796,0.999201,0.00419204,0.000580953,9.84e-05,0.0191412,0.0382892,0.00514092,0.00744889,0.0363748,0.277374,2.47881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,396.0,1778.0,100,56,0,1453834982,0.00135272,0.921708,0.00267364,0.297529,0.00155338,0.0231256,0.226079,0.0281581,0.0133112,0.111472,0.400308,2.96433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
