,Followings,Followers,MediaCount,Likes,Comments ,CreationTime,Selfie,BodySnap,Marketing,ProductOnly,NonFashion,Face,Logo,BrandLogo,Smile,Outdoor,NumberOfPeople,NumberOfFashionProduct,Anger,Contempt,Disgust,Fear,Happiness,Neutral,Sadness,Surprise
0,518.0,9840.0,541,97,0,1453883211,0.000884605,0.336438,0.74122,0.00945402,0.00182682,0.839466,0.890231,0.292843,0.0626384,0.0121636,0.931486,3.42211,0.08386212,0.015088971,0.000582661,2.6e-05,1.69e-05,0.890585661,0.009656701,0.000180998
1,7333.0,2300.0,272,94,0,1453885002,0.00391171,0.995503,0.0017277,0.0021246,0.00243782,0.480598,0.550629,0.063139,0.126848,0.00432972,0.466329,2.91971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,131.0,605.0,106,91,3,1453862683,0.0157738,0.96388,0.025719,0.0270231,0.00340932,0.283399,0.0957244,0.0376345,0.107896,0.712017,1.1165,4.69096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,131.0,605.0,106,94,3,1453862683,0.0157738,0.96388,0.025719,0.0270231,0.00340932,0.283399,0.0957244,0.0376345,0.107896,0.712017,1.1165,4.69096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,132.0,456.0,56,9,1,1453874680,0.00202098,0.0141884,0.0283511,0.418125,0.601519,0.0108396,0.994191,0.332847,0.00791073,0.00238632,0.393063,1.45586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,498.0,1376.0,224,89,10,1453844595,0.97284,0.0151651,0.127595,0.0013362,0.005446,0.998762,0.032136,0.0311231,0.508988,0.0225558,1.10346,1.89413,5.18e-07,0.00023595,6.67e-08,1.18e-10,7.23e-06,0.9997292,2.7e-05,3.98e-08
6,0.0,5.0,6,8,0,1453846028,0.901886,0.13613,0.0282647,0.00758407,0.0925899,0.98543,0.135615,0.0610226,0.617551,0.134428,1.97458,2.64539,0.00033761,0.003945592,5.42e-05,0.000219826,0.003709286,0.985048771,0.006055944,0.000628822
7,227.0,1409.0,1597,79,4,1453842289,0.0196816,0.983649,0.0127862,0.00303031,0.00612777,0.959434,0.720889,0.085137,0.438367,0.117568,1.09702,3.97702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,418.0,644.0,405,79,4,1453838111,0.00502158,0.9929,0.0255874,0.00127868,0.00143197,0.964121,0.148592,0.0261388,0.361693,0.932443,1.44848,5.39316,1.42e-12,8.22e-11,1.66e-11,4.62e-11,1.0,2.49e-10,1.64e-11,1.3e-08
9,270.0,708.0,228,73,1,1453882709,0.0156022,0.0703992,0.0145078,0.0328205,0.963552,0.0363287,0.285583,0.0735058,0.0243448,0.0504299,1.00746,1.52732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,294.0,651.0,377,73,0,1453842537,0.00663203,0.992952,0.0174177,0.00171255,0.00269344,0.862452,0.124151,0.0251997,0.294625,0.350342,1.21623,4.97896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,274.0,166.0,501,7,1,1453871811,0.000600424,0.00817182,0.00359232,0.941485,0.0443811,0.00257692,0.999715,0.679505,0.00169852,0.00260503,0.147125,0.834684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,374.0,1939.0,17734,7,0,1453842063,0.00203573,0.159754,0.0188477,0.838304,0.00175955,0.0186897,0.20223,0.0560239,0.00714048,0.00279146,0.275549,3.84085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,365.0,1244.0,606,7,1,1453841864,0.00536549,0.00864664,0.0130011,0.0553941,0.968978,0.0348628,0.740674,0.0747214,0.013739,0.0168526,0.525667,1.28545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1210.0,1407.0,293,67,3,1453872141,0.0407316,0.820326,0.138368,0.00199168,0.0110968,0.981406,0.306854,0.170717,0.306258,0.745713,1.75041,3.12093,0.037992124,0.006890828,0.041612215,0.001233497,0.054538887,0.8021175,0.042010237,0.013604704
15,248.0,164.0,232,65,4,1453861364,0.00475493,0.0254303,0.0127857,0.193444,0.753836,0.0187883,0.946612,0.199758,0.00944543,0.00373903,0.358714,1.40628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,248.0,164.0,232,66,4,1453861364,0.00475493,0.0254303,0.0127857,0.193444,0.753836,0.0187883,0.946612,0.199758,0.00944543,0.00373903,0.358714,1.40628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,4661.0,2401.0,375,6,0,1453845387,1.13e-05,0.000211326,0.000954249,0.999865,0.000193924,0.000101992,0.942313,0.0284688,5.25e-05,8.55e-05,0.0436229,1.4199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,288.0,818.0,343,59,18,1453880223,0.00746303,0.0202877,0.159083,0.764159,0.0711828,0.0658177,0.656176,0.317431,0.0255475,0.0364326,0.895822,3.72301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1210.0,1407.0,293,59,0,1453863123,0.0497371,0.914582,0.0957785,0.00241769,0.00951026,0.987258,0.117708,0.0640551,0.446055,0.907254,2.08075,4.66561,0.002188416,0.015074042,0.001247988,8.77e-05,0.245093077,0.7306535,0.004732265,0.000923032
20,1210.0,1407.0,293,59,2,1453862942,0.0197047,0.26009,0.726567,0.00342267,0.0131255,0.985695,0.167108,0.192259,0.101802,0.459299,1.54254,3.46,0.002058667,0.021527095,0.004718329,0.002146034,0.000329987,0.8408172,0.115562707,0.01283997
21,1902.0,2050.0,445,57,4,1453872025,0.00348469,0.0965115,0.0140256,0.691088,0.058207,0.0200901,0.8511,0.137455,0.00987444,0.0106954,0.440809,2.76821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1210.0,1407.0,293,55,0,1453862112,0.0469797,0.73856,0.202489,0.00510739,0.0272906,0.970339,0.342119,0.212474,0.295596,0.866977,2.09498,3.41341,0.005183491,5.91e-05,0.007830116,0.000197072,0.948046148,0.002179061,0.03537588,0.001129152
23,388.0,722.0,136,53,0,1453839690,0.0120676,0.974634,0.0107956,0.00713748,0.00880611,0.597017,0.161277,0.0365783,0.142508,0.533206,0.982157,3.36719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,7119.0,4656.0,839,52,2,1453838514,0.00245528,0.0201191,0.00674287,0.777063,0.0793465,0.00516701,0.572595,0.126834,0.00447443,0.00293336,0.326791,2.44149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,215.0,330.0,85,51,0,1453847743,0.0680521,0.272806,0.0339676,0.0373159,0.550191,0.382513,0.249434,0.0852187,0.0999041,0.106332,1.50948,2.95669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1210.0,1407.0,293,50,0,1453861719,0.0580347,0.45566,0.324471,0.00363805,0.0163767,0.969011,0.352969,0.239456,0.17568,0.181244,1.66155,3.12965,4.43e-05,0.1282761,0.000251049,3.01e-05,0.6950755,0.17325756,0.001140115,0.001925208
27,929.0,677.0,472,5,0,1453848458,0.00239461,0.00752602,0.0085535,0.114506,0.946331,0.00338416,0.944363,0.211237,0.00242827,0.0103146,0.279631,0.521939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,259.0,1079.0,358,49,4,1453842090,0.418995,0.175567,0.0647417,0.0163761,0.213412,0.942849,0.895697,0.231797,0.346536,0.0271798,1.50829,2.74128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,613.0,1325.0,346,48,4,1453864124,0.656891,0.0872989,0.118451,0.00499489,0.0126745,0.987265,0.0519617,0.0299673,0.351614,0.0526695,1.50338,2.43165,6.01e-11,2.17e-10,4.41e-09,2.04e-13,1.0,9.52e-09,1.38e-10,3.3e-09
30,71.0,1691.0,11012,47,2,1453883569,0.00142978,0.909295,0.195437,0.00522738,0.0177856,0.93367,0.999283,0.660652,0.207308,0.0765704,1.21719,3.80563,5.17e-05,0.000435901,4.52e-05,6.17e-06,0.006473261,0.9883224,0.000221477,0.004443949
31,71.0,1691.0,11012,46,0,1453883831,0.00632739,0.146816,0.145401,0.165935,0.103991,0.35378,0.849229,0.0820357,0.0571158,0.104111,1.01859,3.53737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,71.0,1691.0,11012,46,0,1453883118,0.319082,0.43711,0.0495868,0.00483394,0.0635152,0.980324,0.226484,0.0709357,0.455433,0.214046,1.82764,3.5436,0.000942625,0.010659362,0.002842332,0.00172315,0.033494137,0.920450449,0.009277297,0.020610653
33,71.0,1691.0,11012,46,2,1453882845,0.152383,0.648528,0.02278,0.00433469,0.0297274,0.978727,0.248874,0.0502259,0.436293,0.36032,1.33225,3.96193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,71.0,1691.0,11012,45,0,1453882279,0.030426,0.228472,0.460922,0.00355745,0.144413,0.964555,0.990869,0.391541,0.231046,0.0538517,1.77647,2.30971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1040.0,1389.0,1453,45,2,1453868682,0.0855189,0.223261,0.399849,0.0024572,0.01782,0.967367,0.895281,0.585002,0.194858,0.0155513,1.48942,2.21802,1.44e-06,2.3e-05,2.12e-06,1.59e-06,0.9997955,5.33e-05,0.000116353,6.75e-06
36,2.0,19829.0,144,43,0,1453885614,0.00314226,0.681011,0.240469,0.00675175,0.0247002,0.784957,0.767101,0.0781776,0.176083,0.28729,1.3947,4.59421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,71.0,1691.0,11012,43,0,1453881791,0.30616,0.440357,0.0492784,0.00312731,0.0735955,0.984305,0.131301,0.0501261,0.446015,0.644933,1.8213,3.58518,0.000885574,0.010008454,0.002425469,9.64e-05,0.036406253,0.9432699,0.005165716,0.001742235
38,406.0,961.0,1666,43,2,1453874944,0.263492,0.0557796,0.0269172,0.00500374,0.0638362,0.971481,0.985159,0.187126,0.286,0.00637258,0.666995,1.37398,0.00085597,0.004593239,0.000195297,2.74e-05,0.000685311,0.962112,0.03126278,0.000268018
39,71.0,1691.0,11012,42,0,1453881625,0.00751007,0.486528,0.118169,0.0231719,0.170066,0.818935,0.989085,0.261284,0.184952,0.446418,1.42558,2.7442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,806.0,1096.0,288,42,1,1453864626,0.00141734,0.967642,0.0185617,0.00948537,0.000907098,0.582435,0.223079,0.0332854,0.10617,0.00394745,0.866725,6.42761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,77.0,119.0,7,42,0,1453849697,0.244754,0.593144,0.041796,0.00439982,0.0177148,0.996989,0.897807,0.324412,0.71471,0.359865,1.58226,3.30158,3.76e-05,0.001839885,5.53e-05,1.04e-06,0.001410643,0.9844424,0.012193255,1.99e-05
42,71.0,1691.0,11012,41,0,1453881173,0.239422,0.346879,0.0435641,0.00598265,0.162688,0.962006,0.162086,0.0606333,0.364062,0.686704,1.87015,3.28167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,406.0,961.0,1666,41,0,1453878508,0.000696261,0.994281,0.00274305,0.00453054,0.00148271,0.0218127,0.212854,0.0406361,0.00930544,0.0028908,0.379611,2.28869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
