,Followings,Followers,MediaCount,Likes,Comments ,CreationTime,Selfie,BodySnap,Marketing,ProductOnly,NonFashion,Face,Logo,BrandLogo,Smile,Outdoor,NumberOfPeople,NumberOfFashionProduct,Anger,Contempt,Disgust,Fear,Happiness,Neutral,Sadness,Surprise
7,227.0,1409.0,1597,79,4,1453842289,0.0196816,0.983649,0.0127862,0.00303031,0.00612777,0.959434,0.720889,0.085137,0.438367,0.117568,1.09702,3.97702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1902.0,2050.0,445,57,4,1453872025,0.00348469,0.0965115,0.0140256,0.691088,0.058207,0.0200901,0.8511,0.137455,0.00987444,0.0106954,0.440809,2.76821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,806.0,1096.0,288,42,1,1453864626,0.00141734,0.967642,0.0185617,0.00948537,0.000907098,0.582435,0.223079,0.0332854,0.10617,0.00394745,0.866725,6.42761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,406.0,961.0,1666,41,0,1453878508,0.000696261,0.994281,0.00274305,0.00453054,0.00148271,0.0218127,0.212854,0.0406361,0.00930544,0.0028908,0.379611,2.28869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,492.0,617.0,519,39,2,1453845749,0.0058427,0.353782,0.170501,0.32405,0.00601712,0.201328,0.096739,0.0741305,0.030395,0.0349868,0.981787,4.10137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,90.0,126.0,187,38,2,1453844854,0.000116934,0.00189709,0.00388033,0.996378,0.00273814,0.000345281,0.946775,0.307696,0.00036278,0.0026774,0.0996866,1.17952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,1702.0,841.0,1150,35,0,1453876022,0.000421617,0.0126945,0.00104983,0.998119,0.000280575,0.000428393,0.241401,0.0457554,0.00057221,0.00101765,0.107679,2.79097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,674.0,432.0,704,35,1,1453857239,0.000766817,0.896146,0.00246768,0.115756,0.00134437,0.0436565,0.280814,0.0116582,0.0131051,0.00757975,0.245739,3.76906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,958.0,514.0,242,33,0,1453847092,0.000163013,0.00109143,0.039659,0.996621,0.00295685,0.00235498,0.373685,0.0608895,0.000672987,0.00132523,0.169346,4.66481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,112.0,120.0,321,32,1,1453866172,0.000704891,0.988027,0.00250662,0.0119744,0.000670694,0.0506772,0.100549,0.00808285,0.0427669,0.0031825,0.40394,6.25737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,757.0,969.0,1251,30,1,1453852797,0.00466426,0.130541,0.0290397,0.818526,0.00811979,0.0643466,0.656795,0.131613,0.0198051,0.128166,0.599911,3.97838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,691.0,39.0,13,3,0,1453850225,0.000351534,0.0187583,0.0273016,0.985357,0.000554843,0.00368484,0.624589,0.172277,0.0014765,0.00212804,0.235072,3.17849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,1702.0,841.0,1150,28,0,1453874662,0.000170329,0.00430269,0.000738153,0.9956,0.00931928,0.000369862,0.753587,0.151634,0.00064011,0.00147985,0.119122,1.20759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2817.0,2050.0,507,26,2,1453860244,0.00318938,0.0955982,0.027432,0.737616,0.0189327,0.0287373,0.711085,0.1476,0.00922205,0.0519855,0.469634,4.07066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,151.0,100.0,69,24,0,1453857780,0.00267206,0.0432793,0.0114844,0.457803,0.104293,0.0121906,0.987977,0.377081,0.0103581,0.0175283,0.346481,1.85554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,27.0,11.0,9,19,0,1453852554,0.00207263,0.991205,0.0278658,0.0022385,0.000430039,0.731288,0.0232045,0.00665589,0.124177,0.298898,0.862876,5.41746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,451.0,4365.0,485,115,3,1453841731,0.000472639,0.00293638,0.0326722,0.998693,0.000667956,0.00177447,0.836834,0.14988,0.00135822,0.00272729,0.24987,3.70682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,451.0,4365.0,485,115,3,1453841731,0.000472639,0.00293638,0.0326722,0.998693,0.000667956,0.00177447,0.836834,0.14988,0.00135822,0.00272729,0.24987,3.70682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,431.0,1455.0,677,108,3,1453867139,0.000970043,0.925435,0.00361218,0.138177,0.0025008,0.00709706,0.279847,0.0767791,0.00818248,0.0327705,0.309203,2.78132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,795.0,1724.0,864,105,0,1453842324,0.00672821,0.998809,0.00375889,0.00101391,0.00159197,0.56535,0.0911802,0.0149202,0.273523,0.0844716,0.984783,5.28524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,306.0,1197.0,318,96,5,1453824466,0.00192939,0.970159,0.014657,0.0307616,0.000401287,0.164126,0.527394,0.0255051,0.0383074,0.0204513,0.366598,3.60571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,25.0,6356.0,1044,92,0,1453848114,0.00241906,0.934179,0.192083,0.000531667,0.000258901,0.935762,0.0467458,0.0246979,0.0923159,0.00413549,0.750196,2.67606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,58.0,24.0,4,9,0,1453882417,0.000914835,0.00860934,0.0617393,0.97416,0.0078449,0.00854618,0.0513368,0.0483935,0.00302436,0.003828,0.481368,5.46555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,475.0,1024.0,163,9,5,1453839157,0.000920334,0.00837575,0.0144446,0.992739,0.00159947,0.00308375,0.427664,0.0538474,0.00163176,0.00755323,0.206399,2.17797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,858.0,2069.0,1156,89,7,1453822602,0.00391391,0.206853,0.0246281,0.880928,0.00279989,0.0379619,0.0675298,0.0781868,0.0147313,0.0991431,0.82664,4.22907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
