,Followings,Followers,MediaCount,Likes,Comments ,CreationTime,Selfie,BodySnap,Marketing,ProductOnly,NonFashion,Face,Logo,BrandLogo,Smile,Outdoor,NumberOfPeople,NumberOfFashionProduct,Anger,Contempt,Disgust,Fear,Happiness,Neutral,Sadness,Surprise
4223,7224.0,54073.0,2867,96,1,1453863868,0.867448,0.120628,0.0685133,0.00887599,0.110293,0.986193,0.21677,0.0705657,0.663171,0.145672,2.5147,3.2291,5.05e-07,4.36e-09,8.65e-08,3.23e-10,0.99999927,6.05e-08,4.3e-08,2.02e-08
4224,652.0,6486.0,1035,90,9,1453864116,0.0102892,0.656692,0.576641,0.00524566,0.0140611,0.962406,0.188514,0.0978294,0.19,0.632973,2.05231,5.309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4225,4017.0,2280.0,12751,9,1,1453872084,0.00128099,0.0104685,0.0996365,0.0530541,0.90989,0.0417628,0.998111,0.204764,0.0175101,0.0020003,0.383649,1.92592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4226,4017.0,2280.0,12751,9,0,1453872022,0.00164811,0.00447276,0.0747086,0.794529,0.153507,0.00906253,0.996196,0.187807,0.00412028,0.00107936,0.278845,2.48141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4227,4017.0,2280.0,12751,9,0,1453871630,0.00133497,0.00483988,0.0445058,0.0198306,0.983894,0.0127449,0.997365,0.199964,0.00685283,0.00107666,0.277149,0.527519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4228,748.0,237.0,1189,9,0,1453870737,0.000330215,0.00670356,0.0268403,0.976592,0.00546577,0.0038545,0.993702,0.221142,0.00159751,0.000923329,0.156179,1.97582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4229,2903.0,1578.0,540,8,0,1453869963,0.000323801,0.00255754,0.00152298,0.998822,0.00182322,0.000326285,0.982116,0.206995,0.000732961,0.000716402,0.114377,1.32575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4230,2903.0,1578.0,540,9,0,1453869963,0.000323801,0.00255754,0.00152298,0.998822,0.00182322,0.000326285,0.982116,0.206995,0.000732961,0.000716402,0.114377,1.32575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4231,2903.0,1578.0,540,9,0,1453869963,0.000323801,0.00255754,0.00152298,0.998822,0.00182322,0.000326285,0.982116,0.206995,0.000732961,0.000716402,0.114377,1.32575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4232,2903.0,1578.0,540,9,0,1453869963,0.000323801,0.00255754,0.00152298,0.998822,0.00182322,0.000326285,0.982116,0.206995,0.000732961,0.000716402,0.114377,1.32575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4233,2903.0,1578.0,540,9,0,1453869963,0.000323801,0.00255754,0.00152298,0.998822,0.00182322,0.000326285,0.982116,0.206995,0.000732961,0.000716402,0.114377,1.32575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4234,1200.0,1976.0,5284,9,0,1453868528,0.000897383,0.0915497,0.13014,0.619195,0.000743691,0.0412579,0.773473,0.150074,0.00675699,0.00498821,0.416076,2.07611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4235,254.0,10034.0,13038,9,0,1453866891,0.000542571,0.00378351,0.00779475,0.998933,0.000697909,0.00130124,0.978016,0.341222,0.00165005,0.00760567,0.210765,2.28549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4236,254.0,10034.0,13038,9,0,1453866891,0.000542571,0.00378351,0.00779475,0.998933,0.000697909,0.00130124,0.978016,0.341222,0.00165005,0.00760567,0.210765,2.28549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4237,254.0,10034.0,13038,9,0,1453866595,0.000518868,0.00221083,0.00298642,0.994314,0.00816219,0.000614693,0.977642,0.259393,0.000877715,0.00255555,0.133639,1.23101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4238,254.0,10034.0,13038,9,0,1453866595,0.000518868,0.00221083,0.00298642,0.994314,0.00816219,0.000614693,0.977642,0.259393,0.000877715,0.00255555,0.133639,1.23101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4239,455.0,2865.0,301,9,0,1453864544,0.00198628,0.98706,0.0195609,0.0041579,0.000937145,0.85242,0.126962,0.0153827,0.212688,0.483843,0.885354,6.10737,0.004462189,0.000257316,0.000455317,0.001536555,0.6321265,0.244494259,0.038458273,0.07820955
