,Followings,Followers,MediaCount,Likes,Comments ,CreationTime,Selfie,BodySnap,Marketing,ProductOnly,NonFashion,Face,Logo,BrandLogo,Smile,Outdoor,NumberOfPeople,NumberOfFashionProduct,Anger,Contempt,Disgust,Fear,Happiness,Neutral,Sadness,Surprise
4228,748.0,237.0,1189,9,0,1453870737,0.000330215,0.00670356,0.0268403,0.976592,0.00546577,0.0038545,0.993702,0.221142,0.00159751,0.000923329,0.156179,1.97582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4229,2903.0,1578.0,540,8,0,1453869963,0.000323801,0.00255754,0.00152298,0.998822,0.00182322,0.000326285,0.982116,0.206995,0.000732961,0.000716402,0.114377,1.32575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4230,2903.0,1578.0,540,9,0,1453869963,0.000323801,0.00255754,0.00152298,0.998822,0.00182322,0.000326285,0.982116,0.206995,0.000732961,0.000716402,0.114377,1.32575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4231,2903.0,1578.0,540,9,0,1453869963,0.000323801,0.00255754,0.00152298,0.998822,0.00182322,0.000326285,0.982116,0.206995,0.000732961,0.000716402,0.114377,1.32575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4232,2903.0,1578.0,540,9,0,1453869963,0.000323801,0.00255754,0.00152298,0.998822,0.00182322,0.000326285,0.982116,0.206995,0.000732961,0.000716402,0.114377,1.32575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4233,2903.0,1578.0,540,9,0,1453869963,0.000323801,0.00255754,0.00152298,0.998822,0.00182322,0.000326285,0.982116,0.206995,0.000732961,0.000716402,0.114377,1.32575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4234,1200.0,1976.0,5284,9,0,1453868528,0.000897383,0.0915497,0.13014,0.619195,0.000743691,0.0412579,0.773473,0.150074,0.00675699,0.00498821,0.416076,2.07611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4244,748.0,237.0,1189,8,0,1453870698,0.000100455,0.0114147,0.00249856,0.993221,0.00111764,0.000342497,0.994402,0.209145,0.000400406,0.000622521,0.0747977,1.14886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4245,748.0,237.0,1189,8,0,1453870630,0.000102483,0.00566667,0.0187669,0.966239,0.00444459,0.00343308,0.998329,0.130607,0.00107621,0.00179034,0.131147,2.14458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4247,748.0,237.0,1189,8,0,1453870527,0.000109296,0.00137569,0.0163036,0.99271,0.00260072,0.00184684,0.999529,0.320411,0.000688551,0.000566681,0.0941634,1.90431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
