,Followings,Followers,MediaCount,Likes,Comments ,CreationTime,Selfie,BodySnap,Marketing,ProductOnly,NonFashion,Face,Logo,BrandLogo,Smile,Outdoor,NumberOfPeople,NumberOfFashionProduct,Anger,Contempt,Disgust,Fear,Happiness,Neutral,Sadness,Surprise
2816,1632.0,28021.0,2053,99,0,1453223906,0.00958599,0.0501174,0.930878,0.0652121,0.010958,0.861427,0.0795343,0.0679251,0.0864928,0.0659104,2.51701,7.17593,0.015042574,0.001643257,0.000156,4.68e-06,7.53e-06,0.976945754,0.006160135,4.02e-05
2817,1480.0,1541.0,1042,94,14,1453502195,0.000900382,0.994535,0.00306062,0.00267165,0.00139291,0.268988,0.047176,0.00931349,0.0613201,0.302935,0.65585,5.28884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2818,7411.0,5980.0,1874,9,0,1453569416,0.000715662,0.00387844,0.0940321,0.128383,0.779189,0.0182658,0.999875,0.446659,0.00717172,0.00102881,0.230777,1.30213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2819,552.0,5556.0,3415,9,1,1453482538,0.00249186,0.956321,0.012075,0.0513484,0.00077618,0.205312,0.0493104,0.0265421,0.0364693,0.0994209,0.49974,5.51109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2820,552.0,5556.0,3415,9,0,1453482269,0.000674778,0.924488,0.0357809,0.0173838,0.000773487,0.221761,0.0268322,0.0172978,0.0149443,0.0573296,0.494691,4.47698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2821,4966.0,4041.0,1919,9,0,1453195974,0.00177658,0.0203639,0.855434,0.258712,0.00550207,0.23143,0.295481,0.0767972,0.0107819,0.00579986,0.996788,4.71273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2822,3238.0,25127.0,1480,87,2,1453350438,0.000650193,0.00716988,0.0140925,0.974585,0.00878489,0.00252417,0.999102,0.72443,0.00216394,0.00239214,0.202364,1.96872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2823,581.0,69.0,6,87,0,1453197693,0.866584,0.164255,0.0587477,0.00190337,0.036944,0.996992,0.12484,0.0379129,0.724124,0.0695872,2.1332,2.8575,5.42e-06,1.46e-07,1.32e-06,4.91e-07,0.9999645,8.78e-08,4.58e-08,2.8e-05
2824,643.0,17782.0,1553,86,0,1453197007,0.00432317,0.332865,0.776964,0.00332008,0.00487089,0.972758,0.0228252,0.0364562,0.0609455,0.397791,1.38789,5.15531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2825,657.0,314.0,190,85,3,1453500659,0.00466377,0.738081,0.0323626,0.0382755,0.000659791,0.522728,0.0263413,0.00999178,0.0514537,0.00613781,0.701411,7.03773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2826,1080.0,9420.0,1173,85,1,1453318436,0.0029591,0.119626,0.826333,0.0131282,0.00234836,0.880028,0.0181792,0.0221352,0.0298942,0.0485871,0.895264,5.59321,0.000325894,0.002285828,3.03e-05,9.29e-07,0.000295276,0.9961451,0.000903071,1.36e-05
2827,346.0,2567.0,104,83,4,1453199022,0.00486476,0.070814,0.92968,0.0225584,0.00605233,0.90592,0.0385487,0.0476406,0.0430827,0.0504752,1.44459,5.2891,0.001858754,0.000145254,4.03e-06,5.02e-08,1.02e-05,0.997918,5.42e-05,9.52e-06
2828,5589.0,3004.0,4725,82,2,1453462271,0.000110812,0.00392467,0.000784968,0.999183,0.000266441,4.07e-05,0.146079,0.0345669,9.84e-05,0.000215261,0.0720769,1.60387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2829,2165.0,542.0,1288,81,1,1453779007,0.000254511,0.0121614,0.0324916,0.99363,0.000107672,0.00350826,0.010212,0.0120881,0.000759699,0.000833002,0.20393,3.91493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2830,163.0,61.0,9,8,1,1453768276,0.122607,0.965097,0.00414941,0.000834379,0.021659,0.99588,0.315312,0.0198644,0.886859,0.0707043,2.29799,5.53743,0.000882757,0.011775591,0.000256557,5.11e-06,0.333707725,0.65234561,0.000948911,7.77e-05
2831,161.0,94.0,87,8,0,1453744769,0.0125842,0.40452,0.472402,0.00641732,0.00813695,0.912257,0.103196,0.0364701,0.0796491,0.0172756,1.55485,6.02193,0.000408193,7.48e-05,7.61e-05,8.31e-05,0.000587266,0.989022136,0.009120774,0.000627557
2832,552.0,5556.0,3415,8,0,1453482851,0.00474178,0.730046,0.0400876,0.12232,0.0145356,0.118635,0.125057,0.066206,0.0321395,0.134439,0.992757,3.51351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2833,552.0,5556.0,3415,8,0,1453482702,0.00109188,0.994808,0.0029692,0.00577447,0.000142178,0.245257,0.0209702,0.00623519,0.0293434,0.0609968,0.358457,4.93441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2834,552.0,5556.0,3415,8,0,1453482562,0.00104857,0.127614,0.0117026,0.805493,0.00206538,0.0100725,0.687233,0.411138,0.00454622,0.0235142,0.275916,2.96183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2835,552.0,5556.0,3415,8,2,1453482376,0.000861992,0.99564,0.00584969,0.00302534,0.00013914,0.341914,0.00898254,0.00295957,0.0536251,0.143892,0.605663,5.56441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2836,7477.0,1193.0,18468,8,0,1453359958,0.00299577,0.272405,0.821381,0.0123795,0.00389537,0.944928,0.0425764,0.0663598,0.0612333,0.437419,1.78113,7.07124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
