,Followings,Followers,MediaCount,Likes,Comments ,CreationTime,Selfie,BodySnap,Marketing,ProductOnly,NonFashion,Face,Logo,BrandLogo,Smile,Outdoor,NumberOfPeople,NumberOfFashionProduct,Anger,Contempt,Disgust,Fear,Happiness,Neutral,Sadness,Surprise
2819,552.0,5556.0,3415,9,1,1453482538,0.00249186,0.956321,0.012075,0.0513484,0.00077618,0.205312,0.0493104,0.0265421,0.0364693,0.0994209,0.49974,5.51109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2820,552.0,5556.0,3415,9,0,1453482269,0.000674778,0.924488,0.0357809,0.0173838,0.000773487,0.221761,0.0268322,0.0172978,0.0149443,0.0573296,0.494691,4.47698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2825,657.0,314.0,190,85,3,1453500659,0.00466377,0.738081,0.0323626,0.0382755,0.000659791,0.522728,0.0263413,0.00999178,0.0514537,0.00613781,0.701411,7.03773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2828,5589.0,3004.0,4725,82,2,1453462271,0.000110812,0.00392467,0.000784968,0.999183,0.000266441,4.07e-05,0.146079,0.0345669,9.84e-05,0.000215261,0.0720769,1.60387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2829,2165.0,542.0,1288,81,1,1453779007,0.000254511,0.0121614,0.0324916,0.99363,0.000107672,0.00350826,0.010212,0.0120881,0.000759699,0.000833002,0.20393,3.91493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2832,552.0,5556.0,3415,8,0,1453482851,0.00474178,0.730046,0.0400876,0.12232,0.0145356,0.118635,0.125057,0.066206,0.0321395,0.134439,0.992757,3.51351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2833,552.0,5556.0,3415,8,0,1453482702,0.00109188,0.994808,0.0029692,0.00577447,0.000142178,0.245257,0.0209702,0.00623519,0.0293434,0.0609968,0.358457,4.93441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2835,552.0,5556.0,3415,8,2,1453482376,0.000861992,0.99564,0.00584969,0.00302534,0.00013914,0.341914,0.00898254,0.00295957,0.0536251,0.143892,0.605663,5.56441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2840,2165.0,542.0,1288,78,5,1453354993,0.000245124,0.000337446,0.00453272,0.998678,0.00163263,0.000396432,0.974059,0.1314,0.000268167,0.000836638,0.100636,1.42815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2843,396.0,1519.0,1564,75,1,1453615367,0.00200359,0.852257,0.0810419,0.0329825,0.000408152,0.481798,0.072563,0.0186082,0.0356684,0.0539024,0.896984,5.60348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2851,552.0,5556.0,3415,7,0,1453482295,0.00171716,0.93786,0.0184373,0.0327238,0.000476121,0.253302,0.0216184,0.014833,0.0201923,0.0691139,0.473658,4.12884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2864,5761.0,24895.0,811,63,0,1453643750,0.000443221,0.00904899,0.0415685,0.970064,0.00210304,0.0031663,0.921545,0.18918,0.00298087,0.00249558,0.335859,3.12429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2873,833.0,12300.0,300,6,1,1453755022,0.00236227,0.0354556,0.0131999,0.873989,0.0269095,0.00392187,0.187801,0.0923114,0.00384677,0.0171964,0.43659,2.21324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2874,1286.0,220.0,116,6,1,1453548027,0.000806323,0.00381904,0.0094263,0.994553,0.00435634,0.00144965,0.549851,0.15181,0.00103244,0.0195577,0.207911,1.63082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2875,1286.0,220.0,116,6,0,1453547734,0.000242631,0.00140509,0.00468247,0.995265,0.00280811,0.000459083,0.885576,0.263188,0.000284195,0.00251461,0.12772,1.43042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2883,531.0,10152.0,5794,59,0,1453448156,0.00155909,0.0239638,0.0100072,0.986619,0.00356679,0.00226713,0.315769,0.229372,0.00173576,0.0154185,0.355817,2.54276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2884,552.0,5556.0,3415,59,1,1453394531,9.38e-05,0.000300496,0.00124273,0.993972,0.0283033,0.000156187,0.979818,0.264371,8.6e-05,0.00171343,0.0871578,0.522775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2905,5761.0,24895.0,811,53,1,1453629735,0.00102586,0.00852025,0.0171974,0.991352,0.000927169,0.00331072,0.890118,0.2709,0.00242562,0.00569687,0.250797,2.2836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2909,2029.0,2647.0,509,51,4,1453732811,0.00513306,0.981442,0.042395,0.00412965,0.00149273,0.280901,0.0289843,0.00803049,0.0730013,0.146075,0.820357,5.09261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2910,384.0,6951.0,394,51,0,1453206336,0.00048453,0.0491389,0.00704479,0.957581,0.00301978,0.00267455,0.199692,0.0430372,0.00145195,0.0103724,0.255319,3.07485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2918,4092.0,2542.0,3984,5,3,1453777337,0.000496384,0.0258425,0.00753662,0.985778,0.00149497,0.00189794,0.128556,0.045044,0.00145928,0.00863375,0.166816,3.55128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2919,6001.0,777.0,1882,5,0,1453767442,0.0103302,0.458616,0.207004,0.0395091,0.0108162,0.332938,0.0259965,0.029162,0.0356089,0.0463948,0.94278,3.96557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2920,6001.0,777.0,1882,5,0,1453766768,0.00225498,0.922691,0.106265,0.000839637,0.000225481,0.956355,0.00466073,0.00242928,0.114273,0.0203072,0.827969,5.28778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2921,1286.0,220.0,116,5,0,1453547630,0.000838701,0.0177839,0.0485269,0.93687,0.00311377,0.00781483,0.582677,0.12539,0.00238575,0.00658441,0.314024,2.05138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2922,552.0,5556.0,3415,5,0,1453482411,0.000607477,0.957891,0.00853209,0.053199,0.00022463,0.0864453,0.0346267,0.0241584,0.011701,0.0463702,0.372507,4.36204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2925,2165.0,542.0,1288,49,2,1453778686,0.00930457,0.798924,0.0241386,0.113424,0.00605513,0.141246,0.105112,0.092236,0.0321281,0.0178841,0.697395,2.63805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2936,691.0,11583.0,2778,47,0,1453312910,0.00201273,0.979973,0.0121726,0.0309013,0.000461032,0.153984,0.516754,0.0107668,0.0527549,0.0200991,0.672693,5.98097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2938,324.0,878.0,928,47,3,1453206920,0.00108534,0.216311,0.0779054,0.658381,0.00142789,0.0413917,0.267042,0.055612,0.008271,0.00867507,0.647987,5.10616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2939,7.0,8061.0,460,46,5,1453723947,0.000512834,0.0705234,0.095298,0.564441,0.000609217,0.0167751,0.018732,0.0144347,0.00222033,0.00591618,0.277212,3.27506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2942,2165.0,542.0,1288,45,2,1453675724,0.000386663,0.00426179,0.014322,0.996865,0.001543,0.000816789,0.327225,0.0712746,0.000815085,0.00829733,0.251634,2.08846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2945,7.0,8061.0,460,45,5,1453387213,0.000115126,0.000955012,0.0155307,0.99909,0.00032196,0.00072835,0.883437,0.249006,0.00021742,0.000853094,0.108266,3.55131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2947,2165.0,542.0,1288,44,2,1453550984,0.00416854,0.0489311,0.00796983,0.922373,0.0268311,0.00995035,0.0859451,0.141842,0.00634946,0.0176384,0.474065,1.96273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2949,16.0,2001.0,846,43,1,1453489370,0.0013725,0.00864629,0.00706791,0.984968,0.0156649,0.00282158,0.650442,0.230048,0.00303542,0.00309756,0.338621,2.25917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
